Unnamed: 0,State_Name,Crop_Type,Crop,N,P,K,pH,rainfall,temperature,Production_in_quintals,Area_in_acres,Yield_quintals_per_acre
4923,andhra pradesh,kharif,jowar,80,40,40,5.58,654.34,29.26666666666667,91000,23227.87,3.9177074781286447
4924,andhra pradesh,kharif,maize,80,40,20,5.62,654.34,29.26666666666667,14000,1729.735,8.093725339430607
4925,andhra pradesh,kharif,moong,20,40,20,5.46,654.34,29.26666666666667,29000,11613.935,2.497000371
4926,andhra pradesh,kharif,rice,80,40,40,5.42,654.34,29.26666666666667,2217000,185575.855,11.946597255337984
4927,andhra pradesh,kharif,sunflower,50,60,30,5.44,654.34,29.26666666666667,466000,144062.215,3.234713557611203
4928,andhra pradesh,rabi,horsegram,20,60,20,5.86,288.3,25.46,14000,5683.415,2.4633077120006197
4929,andhra pradesh,rabi,jowar,80,40,40,5.36,288.3,25.46,963000,222888.71,4.320541852478756
4930,andhra pradesh,rabi,maize,80,40,20,5.32,288.3,25.46,4000,247.105,16.187450678861214
4931,andhra pradesh,rabi,moong,20,40,20,5.36,288.3,25.46,5000,3212.365,1.5564856421981936
4932,andhra pradesh,rabi,rice,80,40,40,5.32,288.3,25.46,445000,51644.945,8.616525780015838
4933,andhra pradesh,rabi,sesamum,30,15,30,6.68,288.3,25.46,2000,1482.63,1.3489542232384344
4934,andhra pradesh,rabi,sunflower,50,60,30,5.66,288.3,25.46,283000,175938.76,1.6085142352941444
4935,andhra pradesh,rabi,wheat,60,30,30,7,288.3,25.46,4000,1729.735,2.3124929541230306
4936,andhra pradesh,kharif,cotton,120,40,20,5.32,654.34,29.26666666666667,824000,155181.94,5.309896241792054
4937,andhra pradesh,kharif,jowar,80,40,40,5.38,654.34,29.26666666666667,7000,5930.52,1.180334945
4938,andhra pradesh,kharif,maize,80,40,20,5.36,654.34,29.26666666666667,138000,11119.725,12.410378853793596
4939,andhra pradesh,kharif,moong,20,40,20,5.62,654.34,29.26666666666667,82000,32370.755,2.533150679
4940,andhra pradesh,kharif,rice,80,40,40,5.48,654.34,29.26666666666667,2067000,178162.705,11.60175469944734
4941,andhra pradesh,kharif,sesamum,30,15,30,6.48,654.34,29.26666666666667,6000,8401.57,0.7141522358321124
4942,andhra pradesh,kharif,sunflower,50,60,30,5.32,654.34,29.26666666666667,108000,35336.015,3.0563718064982712
4943,andhra pradesh,rabi,horsegram,20,60,20,6,288.3,25.46,8000,4200.785,1.9044059622189664
